id,title,short_title,api_uri,first_name,middle_name,last_name,date_of_birth,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,url,rss_url,contact_form,in_office,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct
A000360,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000360.json,Lamar,,Alexander,1940-07-03,R,,SenAlexander,senatorlamaralexander,lamaralexander,300002,5,15691,40304,N00009888,/m/01rbs3,https://www.alexander.senate.gov/public/,https://www.alexander.senate.gov/public/?a=RSS.Feed,http://www.alexander.senate.gov/public/index.cfm?p=Email,true,0.323,,15,2020,208,7,0,ocd-division/country:us/state:tn,455 Dirksen Senate Office Building,202-224-4944,202-228-3398,TN,2,senior,S289,3.37,98.51
B000575,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000575.json,Roy,,Blunt,1950-01-10,R,,RoyBlunt,SenatorBlunt,SenatorBlunt,400034,45465,418,29735,N00005195,/m/034fn4,https://www.blunt.senate.gov/public/,http://www.blunt.senate.gov/public/?a=RSS.Feed,https://www.blunt.senate.gov/public/index.cfm/contact-roy,true,0.431,,7,2022,208,2,0,ocd-division/country:us/state:mo,260 Russell Senate Office Building,202-224-5721,202-224-8149,MO,3,junior,S342,0.96,99.03
B000944,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000944.json,Sherrod,,Brown,1952-11-09,D,,SenSherrodBrown,,SherrodBrownOhio,400050,5051,27018,29389,N00003535,/m/034s80,https://www.brown.senate.gov/,https://www.brown.senate.gov/rss/feeds/?type=all&,http://www.brown.senate.gov/contact/,true,-0.44,,11,2018,208,0,1,ocd-division/country:us/state:oh,713 Hart Senate Office Building,202-224-2315,202-228-6321,OH,1,senior,S307,0,94.71
B001135,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001135.json,Richard,M.,Burr,1955-11-30,R,,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,400054,31054,21787,29548,N00002221,/m/03g_s9,https://www.burr.senate.gov/,,https://www.burr.senate.gov/contact/email,true,0.454,,13,2022,208,10,0,ocd-division/country:us/state:nc,217 Russell Senate Office Building,202-224-3154,202-228-2981,NC,3,senior,S300,4.81,99.49
B001230,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001230.json,Tammy,,Baldwin,1962-02-11,D,,SenatorBaldwin,TammyBaldwin,witammybaldwin,400013,57884,3470,29940,N00004367,/m/024v02,https://www.baldwin.senate.gov/,https://www.baldwin.senate.gov/rss/feeds/?type=all,https://www.baldwin.senate.gov/feedback,true,-0.546,,5,2018,208,0,1,ocd-division/country:us/state:wi,709 Hart,202-224-5653,202-225-6942,WI,1,junior,S354,0,95.19
B001236,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001236.json,John,,Boozman,1950-12-10,R,,JohnBoozman,JohnBoozman,BoozmanPressOffice,400040,92069,27958,20101,N00013873,/m/024s3v,https://www.boozman.senate.gov/public/,https://www.boozman.senate.gov/public/index.cfm/rss/feed,https://www.boozman.senate.gov/public/index.cfm/contact,true,0.402,,7,2022,208,0,0,ocd-division/country:us/state:ar,141 Hart Senate Office Building,202-224-4843,202-228-1371,AR,3,senior,S343,0,98.56
B001261,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001261.json,John,,Barrasso,1952-07-21,R,Policy Committee Chair,SenJohnBarrasso,johnbarrasso,barrassowyo,412251,1024777,52662,40707,N00006236,/m/02rsm32,https://www.barrasso.senate.gov/,https://www.barrasso.senate.gov/public/?a=rss.feed,https://www.barrasso.senate.gov/public/index.cfm/contact-form,true,0.528,,11,2018,208,1,0,ocd-division/country:us/state:wy,307 Dirksen Senate Office Building,202-224-6441,202-224-1724,WY,1,junior,S317,0.48,99.03
B001267,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001267.json,Michael,,Bennet,1964-11-28,D,,SenBennetCo,senbennetco,SenatorBennet,412330,1031622,110942,40910,N00030608,/m/05b60qf,https://www.bennet.senate.gov/,,https://www.bennet.senate.gov/?p=contact,true,-0.208,,9,2022,208,1,1,ocd-division/country:us/state:co,261 Russell Senate Office Building,202-224-5852,202-228-5097,CO,3,senior,S330,0.48,91.3
B001277,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001277.json,Richard,,Blumenthal,1946-02-13,D,,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,412490,21799,1568,41101,N00031685,/m/03tg8m,https://www.blumenthal.senate.gov/,https://www.blumenthal.senate.gov/rss/feeds/?type=press,https://www.blumenthal.senate.gov/contact/,true,-0.418,,7,2022,208,1,1,ocd-division/country:us/state:ct,706 Hart Senate Office Building,202-224-2823,202-224-9673,CT,3,senior,S341,0.48,90.34
B001288,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B001288.json,Cory,,Booker,1969-04-27,D,,CoryBooker,,SenCoryBooker,412598,84679,76151,41308,N00035267,/m/06p430,https://www.booker.senate.gov/,https://www.booker.senate.gov/rss/,https://www.booker.senate.gov/?p=contact,true,-0.588,,5,2020,208,1,1,ocd-division/country:us/state:nj,359 Dirksen Senate Office Building,202-224-3224,202-224-8378,NJ,2,junior,S370,0.48,83.57
