firstname,middlename,lastname,sortname,name,namemod,nickname,caucus,congress_numbers/0,congress_numbers/1,congress_numbers/2,current,description,district,startdate,enddate,address,contact_form,fax,office,rss_url,leadership_title,party,bioguideid,birthday,cspanid,gender,govtrack_link,osid,pvsid,twitterid,youtubeid,phone,role_type,senator_class,senator_rank,state,title,title_long,website,how
Tammy,,Baldwin,"Baldwin, Tammy (Sen.) [D-WI]",Sen. Tammy Baldwin [D-WI],,,,113,114,115,TRUE,Junior Senator from Wisconsin,,1/3/13,1/3/19,709 Hart Senate Office Building Washington DC 20510,https://www.baldwin.senate.gov/feedback,202-225-6942,709 Hart Senate Office Building,http://www.baldwin.senate.gov/rss/feeds/?type=all,,Democrat,B001230,2/11/62,57884,female,https://www.govtrack.us/congress/members/tammy_baldwin/400013,N00004367,3470,SenatorBaldwin,witammybaldwin,202-224-5653,senator,class1,junior,WI,Sen.,Senator,https://www.baldwin.senate.gov,
Sherrod,,Brown,"Brown, Sherrod (Sen.) [D-OH]",Sen. Sherrod Brown [D-OH],,,,113,114,115,TRUE,Senior Senator from Ohio,,1/3/13,1/3/19,713 Hart Senate Office Building Washington DC 20510,http://www.brown.senate.gov/contact/,202-228-6321,713 Hart Senate Office Building,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,,Democrat,B000944,11/9/52,5051,male,https://www.govtrack.us/congress/members/sherrod_brown/400050,N00003535,27018,SenSherrodBrown,SherrodBrownOhio,202-224-2315,senator,class1,senior,OH,Sen.,Senator,https://www.brown.senate.gov,
Benjamin,L.,Cardin,"Cardin, Benjamin (Sen.) [D-MD]",Sen. Benjamin Cardin [D-MD],,,,113,114,115,TRUE,Senior Senator from Maryland,,1/3/13,1/3/19,509 Hart Senate Office Building Washington DC 20510,http://www.cardin.senate.gov/contact/,202-224-1651,509 Hart Senate Office Building,http://www.cardin.senate.gov/rss/feeds/?type=all,,Democrat,C000141,10/5/43,4004,male,https://www.govtrack.us/congress/members/benjamin_cardin/400064,N00001955,26888,SenatorCardin,senatorcardin,202-224-4524,senator,class1,senior,MD,Sen.,Senator,https://www.cardin.senate.gov,
Jeff,,Flake,"Flake, Jeff (Sen.) [R-AZ]",Sen. Jeff Flake [R-AZ],,,,113,114,115,TRUE,Junior Senator from Arizona,,1/3/13,1/3/19,413 Russell Senate Office Building Washington DC 20510,https://www.flake.senate.gov/public/index.cfm/contact-jeff,202-226-4386,413 Russell Senate Office Building,http://www.flake.senate.gov/public/index.cfm/rss/feed,,Republican,F000444,12/31/62,87582,male,https://www.govtrack.us/congress/members/jeff_flake/400134,N00009573,28128,JeffFlake,flakeoffice,202-224-4521,senator,class1,junior,AZ,Sen.,Senator,https://www.flake.senate.gov/public,
Robert,,MenÃ©ndez,"MenÃ©ndez, Robert â€œBobâ€ù (Sen.) [D-NJ]",Sen. Robert â€œBobâ€ù MenÃ©ndez [D-NJ],,Bob,,113,114,115,TRUE,Senior Senator from New Jersey,,1/3/13,1/3/19,528 Hart Senate Office Building Washington DC 20510,https://www.menendez.senate.gov/contact,202-228-2197,528 Hart Senate Office Building,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,,Democrat,M000639,1/1/54,29608,male,https://www.govtrack.us/congress/members/robert_menendez/400272,N00000699,26961,SenatorMenendez,SenatorMenendezNJ,202-224-4744,senator,class1,senior,NJ,Sen.,Senator,https://www.menendez.senate.gov,
Bernard,,Sanders,"Sanders, Bernard â€œBernieâ€ù (Sen.) [I-VT]",Sen. Bernard â€œBernieâ€ù Sanders [I-VT],,Bernie,Democrat,113,114,115,TRUE,Junior Senator from Vermont,,1/3/13,1/3/19,332 Dirksen Senate Office Building Washington DC 20510,http://www.sanders.senate.gov/contact/,202-228-0776,332 Dirksen Senate Office Building,http://www.sanders.senate.gov/rss/,,Independent,S000033,9/8/41,994,male,https://www.govtrack.us/congress/members/bernard_sanders/400357,N00000528,27110,SenSanders,senatorsanders,202-224-5141,senator,class1,junior,VT,Sen.,Senator,https://www.sanders.senate.gov,
Maria,,Cantwell,"Cantwell, Maria (Sen.) [D-WA]",Sen. Maria Cantwell [D-WA],,,,113,114,115,TRUE,Junior Senator from Washington,,1/3/13,1/3/19,511 Hart Senate Office Building Washington DC 20510,http://www.cantwell.senate.gov/public/index.cfm/email-maria,202-228-0514,511 Hart Senate Office Building,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,,Democrat,C000127,10/13/58,26137,female,https://www.govtrack.us/congress/members/maria_cantwell/300018,N00007836,27122,SenatorCantwell,SenatorCantwell,202-224-3441,senator,class1,junior,WA,Sen.,Senator,https://www.cantwell.senate.gov,
Thomas,Richard,Carper,"Carper, Thomas (Sen.) [D-DE]",Sen. Thomas Carper [D-DE],,,,113,114,115,TRUE,Senior Senator from Delaware,,1/3/13,1/3/19,513 Hart Senate Office Building Washington DC 20510,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,202-228-2190,513 Hart Senate Office Building,http://www.carper.senate.gov/public/index.cfm/rss/feed,,Democrat,C000174,1/23/47,663,male,https://www.govtrack.us/congress/members/thomas_carper/300019,N00012508,22421,SenatorCarper,senatorcarper,202-224-2441,senator,class1,senior,DE,Sen.,Senator,https://www.carper.senate.gov/public,
Dianne,,Feinstein,"Feinstein, Dianne (Sen.) [D-CA]",Sen. Dianne Feinstein [D-CA],,,,113,114,115,TRUE,Senior Senator from California,,1/3/13,1/3/19,331 Hart Senate Office Building Washington DC 20510,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,202-228-3954,331 Hart Senate Office Building,http://www.feinstein.senate.gov/public/?a=rss.feed,,Democrat,F000062,6/22/33,13061,female,https://www.govtrack.us/congress/members/dianne_feinstein/300043,N00007364,53273,SenFeinstein,SenatorFeinstein,202-224-3841,senator,class1,senior,CA,Sen.,Senator,https://www.feinstein.senate.gov,
Orrin,G.,Hatch,"Hatch, Orrin (Sen.) [R-UT]",Sen. Orrin Hatch [R-UT],,,,113,114,115,TRUE,Senior Senator from Utah,,1/3/13,1/3/19,104 Hart Senate Office Building Washington DC 20510,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,202-224-6331,104 Hart Senate Office Building,http://www.hatch.senate.gov/public/index.cfm/rss/feed,,Republican,H000338,3/22/34,189,male,https://www.govtrack.us/congress/members/orrin_hatch/300052,N00009869,53352,SenOrrinHatch,SenatorOrrinHatch,202-224-5251,senator,class1,senior,UT,Sen.,Senator,https://www.hatch.senate.gov,
