id,api_uri,first_name,middle_name,last_name,date_of_birth,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,url,rss_url,contact_form,in_office,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct
A000055,https://api.propublica.org/congress/v1/members/A000055.json,Robert,B.,Aderholt,1965-07-22,R,,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,https://aderholt.house.gov/,https://aderholt.house.gov/rss.xml,,true,0.36,,22,2018,529,22,0,ocd-division/country:us/state:al/cd:4,235 Cannon House Office Building,202-225-4876,202-225-5587,AL,4,false,0104,4.16,95.66
A000367,https://api.propublica.org/congress/v1/members/A000367.json,Justin,,Amash,1980-04-18,R,,,repjustinamash,repjustinamash,412438,1033767,105566,21143,N00031938,/m/0c00p_n,https://amash.house.gov/,https://amash.house.gov/rss.xml,,true,0.684,,8,2018,529,1,0,ocd-division/country:us/state:mi/cd:3,114 Cannon House Office Building,202-225-3831,202-225-5144,MI,3,false,2603,0.19,76.14
A000369,https://api.propublica.org/congress/v1/members/A000369.json,Mark,,Amodei,1958-06-12,R,,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,412500,62817,12537,21196,N00031177,/m/03bzdkn,https://amodei.house.gov/,https://amodei.house.gov/rss/news-releases.xml,,true,0.388,,8,2018,529,13,1,ocd-division/country:us/state:nv/cd:2,332 Cannon House Office Building,202-225-6155,202-225-5679,NV,2,false,3202,2.46,94.38
A000370,https://api.propublica.org/congress/v1/members/A000370.json,Alma,,Adams,1946-05-27,D,,RepAdams,CongresswomanAdams,,412607,76386,5935,21545,N00035451,/m/02b45d,https://adams.house.gov/,https://adams.house.gov/rss.xml,,true,-0.462,,6,2018,529,1,0,ocd-division/country:us/state:nc/cd:12,222 Cannon House Office Building,202-225-1510,202-225-1512,NC,12,false,3712,0.19,96.97
A000371,https://api.propublica.org/congress/v1/members/A000371.json,Pete,,Aguilar,1979-06-19,D,,reppeteaguilar,reppeteaguilar,,412615,79994,70114,21506,N00033997,/m/0jwv0xf,https://aguilar.house.gov/,https://aguilar.house.gov/rss.xml,,true,-0.273,,4,2018,529,6,0,ocd-division/country:us/state:ca/cd:31,1223 Longworth House Office Building,202-225-3201,202-226-6962,CA,31,false,0631,1.13,94.07
A000372,https://api.propublica.org/congress/v1/members/A000372.json,Rick,,Allen,1951-11-07,R,,reprickallen,CongressmanRickAllen,,412625,62545,136062,21516,N00033720,/m/0127y9dk,https://allen.house.gov/,,,true,0.614,,4,2018,529,2,0,ocd-division/country:us/state:ga/cd:12,426 Cannon House Office Building,202-225-2823,202-225-3377,GA,12,false,1312,0.38,98.1
A000374,https://api.propublica.org/congress/v1/members/A000374.json,Ralph,,Abraham,1954-09-16,R,,RepAbraham,CongressmanRalphAbraham,,412630,76236,155414,21522,N00036633,/m/012dwd7_,https://abraham.house.gov/,https://abraham.house.gov/rss.xml,,true,0.493,,4,2018,529,2,0,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,202-225-8490,202-225-5639,LA,5,false,2205,0.38,96.58
A000375,https://api.propublica.org/congress/v1/members/A000375.json,Jodey,,Arrington,1972-03-09,R,,RepArrington,JodeyArrington,,412726,1016482,155685,,N00038285,/m/0g9_f_1,https://arrington.house.gov/,https://arrington.house.gov/rss.xml,,true,,,2,2018,529,3,0,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,202-225-4005,,TX,19,false,4819,0.57,98.48
B000213,https://api.propublica.org/congress/v1/members/B000213.json,Joe,L.,Barton,1949-09-15,R,,RepJoeBarton,RepJoeBarton,repjoebarton,400018,5248,27082,15085,N00005656,/m/03rspq,https://joebarton.house.gov/,,,true,0.528,,34,2018,529,11,0,ocd-division/country:us/state:tx/cd:6,2107 Rayburn House Office Building,202-225-2002,202-225-3052,TX,6,false,4806,2.08,95.56
B000287,https://api.propublica.org/congress/v1/members/B000287.json,Xavier,,Becerra,1958-01-26,D,,RepBecerra,XavierBecerra,XavierBecerra,400021,26567,,29316,,/m/024trk,http://becerra.house.gov,https://becerra.house.gov/rss/press-releases.xml,,false,-0.512,,26,2018,61,42,0,ocd-division/country:us/state:ca/cd:34,,202-225-6235,,CA,34,false,0634,68.85,89.47
